mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,13,79,(1;8;1),(0;0;7),45,150,150.0,30.0 + 45.0 + 30.0
2,1,reshuffle,35,79,(1;8;2),(0;0;6),75,180,180.0,30.0 + 45.0 + 30.0
3,2,reshuffle,57,79,(1;8;3),(0;0;5),105,210,210.0,30.0 + 45.0 + 30.0
4,0,target,79,79,(1;8;4),WS 1 (Port 1),195,320,320.0,30.0 + 55.0 + 30.0 + 10.0
5,0,return,79,79,WS 1 (Port 1),(0;0;4),346,416,416.0,30.0 + 10.0 + 30.0
6,1,target,160,160,(4;4;1),WS 2 (Port 1),220,345,345.0,30.0 + 55.0 + 30.0 + 10.0
7,1,return,160,160,WS 2 (Port 1),(0;0;3),353,446,446.0,30.0 + 33.0 + 30.0
8,2,target,157,157,(4;7;1),WS 2 (Port 1),265,405,405.0,30.0 + 70.0 + 30.0 + 10.0
9,2,return,157,157,WS 2 (Port 1),(0;0;2),407,482,482.0,30.0 + 15.0 + 30.0
10,0,target,158,158,(4;6;1),WS 2 (Port 1),466,601,601.0,30.0 + 65.0 + 30.0 + 10.0
11,0,return,158,158,WS 2 (Port 1),(0;0;1),609,684,684.0,30.0 + 15.0 + 30.0
12,1,target,159,159,(4;5;1),WS 2 (Port 2),491,621,621.0,30.0 + 60.0 + 30.0 + 10.0
13,1,return,159,159,WS 2 (Port 2),(0;0;0),629,714,714.0,30.0 + 25.0 + 30.0
14,2,target,145,145,(3;8;1),WS 2 (Port 1),537,677,677.0,30.0 + 70.0 + 30.0 + 10.0
15,2,return,145,145,WS 2 (Port 1),(0;1;7),687,767,767.0,30.0 + 20.0 + 30.0
16,0,target,161,161,(4;3;1),WS 2 (Port 1),719,839,839.0,30.0 + 50.0 + 30.0 + 10.0
17,0,return,161,161,WS 2 (Port 1),(0;1;6),843,923,923.0,30.0 + 20.0 + 30.0
