mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,368,73,(2;2;0),(0;2;4),20,90,90.0,30.0 + 10.0 + 30.0
2,1,target,73,73,(2;2;1),WS 1 (Port 1),50,150,150.0,30.0 + 30.0 + 30.0 + 10.0
3,0,return,73,73,WS 1 (Port 1),(1;0;1),156,231,231.0,30.0 + 15.0 + 30.0
4,2,target,36,36,(1;9;0),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
5,1,return,36,36,WS 1 (Port 2),(1;0;0),188,263,263.0,30.0 + 15.0 + 30.0
6,2,target,40,40,(1;1;3),WS 1 (Port 1),190,280,280.0,30.0 + 20.0 + 30.0 + 10.0
7,0,return,40,40,WS 1 (Port 1),(0;2;3),288,368,368.0,30.0 + 20.0 + 30.0
8,1,target,46,46,(5;9;4),WS 1 (Port 1),328,478,478.0,30.0 + 80.0 + 30.0 + 10.0
9,0,return,46,46,WS 1 (Port 1),(0;2;2),482,562,562.0,30.0 + 20.0 + 30.0
10,2,target,57,57,(4;7;1),WS 1 (Port 2),335,470,470.0,30.0 + 65.0 + 30.0 + 10.0
11,1,return,57,57,WS 1 (Port 2),(0;2;1),478,592,592.0,30.0 + 54.0 + 30.0
12,2,target,59,59,(4;0;6),WS 1 (Port 1),490,590,590.0,30.0 + 30.0 + 30.0 + 10.0
13,0,return,59,59,WS 1 (Port 1),(0;2;0),598,678,678.0,30.0 + 20.0 + 30.0
14,1,target,71,71,(2;10;5),WS 1 (Port 1),642,782,782.0,30.0 + 70.0 + 30.0 + 10.0
15,0,return,71,71,WS 1 (Port 1),(1;1;3),790,870,870.0,30.0 + 20.0 + 30.0
16,2,target,79,79,(2;0;1),WS 1 (Port 2),600,690,690.0,30.0 + 20.0 + 30.0 + 10.0
17,1,return,79,79,WS 1 (Port 2),(1;1;2),772,900,900.0,30.0 + 68.0 + 30.0
