mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,386,75,(1;2;4),(0;2;4),15,80,80.0,30.0 + 5.0 + 30.0
2,1,reshuffle,186,75,(1;2;5),(0;2;3),45,110,110.0,30.0 + 5.0 + 30.0
3,2,reshuffle,395,75,(1;2;6),(0;2;2),75,140,140.0,30.0 + 5.0 + 30.0
4,0,target,75,75,(1;2;7),WS 1 (Port 1),105,200,200.0,30.0 + 25.0 + 30.0 + 10.0
5,0,return,75,75,WS 1 (Port 1),(1;0;1),400,475,475.0,30.0 + 15.0 + 30.0
6,1,target,47,47,(1;6;5),WS 1 (Port 2),135,250,250.0,30.0 + 45.0 + 30.0 + 10.0
7,1,return,47,47,WS 1 (Port 2),(1;0;0),254,505,505.0,30.0 + 191.0 + 30.0
8,2,target,36,36,(1;9;0),WS 1 (Port 2),180,310,310.0,30.0 + 60.0 + 30.0 + 10.0
9,2,return,36,36,WS 1 (Port 2),(0;2;1),318,398,398.0,30.0 + 20.0 + 30.0
10,2,target,44,44,(2;1;2),WS 1 (Port 1),413,508,508.0,30.0 + 25.0 + 30.0 + 10.0
11,0,return,44,44,WS 1 (Port 1),(0;2;0),516,596,596.0,30.0 + 20.0 + 30.0
12,1,target,40,40,(1;1;3),WS 1 (Port 1),510,600,600.0,30.0 + 20.0 + 30.0 + 10.0
13,1,return,40,40,WS 1 (Port 1),(1;1;3),608,688,688.0,30.0 + 20.0 + 30.0
