mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,101,81,(1;8;1),(0;2;4),45,140,140.0,30.0 + 35.0 + 30.0
2,1,target,81,81,(1;8;2),WS 2 (Port 1),75,205,205.0,30.0 + 60.0 + 30.0 + 10.0
3,0,return,81,81,WS 2 (Port 1),(1;0;1),213,293,293.0,30.0 + 20.0 + 30.0
4,2,target,83,83,(2;6;1),WS 2 (Port 2),40,165,165.0,30.0 + 55.0 + 30.0 + 10.0
5,1,return,83,83,WS 2 (Port 2),(1;0;0),195,323,323.0,30.0 + 68.0 + 30.0
6,2,target,189,189,(0;5;0),WS 2 (Port 1),195,305,305.0,30.0 + 40.0 + 30.0 + 10.0
7,0,return,189,189,WS 2 (Port 1),(0;2;3),313,398,398.0,30.0 + 25.0 + 30.0
8,2,target,273,273,(3;10;0),WS 2 (Port 1),375,525,525.0,30.0 + 80.0 + 30.0 + 10.0
9,0,return,273,273,WS 2 (Port 1),(0;2;2),527,612,612.0,30.0 + 25.0 + 30.0
10,1,target,275,275,(0;4;0),WS 2 (Port 2),348,453,453.0,30.0 + 35.0 + 30.0 + 10.0
11,1,return,275,275,WS 2 (Port 2),(0;2;1),457,642,642.0,30.0 + 125.0 + 30.0
