mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,10,10,(5;0;0),WS 1 (Port 1),25,130,130.0,30.0 + 35.0 + 30.0 + 10.0
2,0,return,10,10,WS 1 (Port 1),(0;0;7),134,204,204.0,30.0 + 10.0 + 30.0
3,1,target,157,157,(4;7;1),WS 1 (Port 1),55,190,190.0,30.0 + 65.0 + 30.0 + 10.0
4,1,return,157,157,WS 1 (Port 1),(0;0;6),192,262,262.0,30.0 + 10.0 + 30.0
5,2,target,158,158,(4;6;1),WS 1 (Port 2),50,180,180.0,30.0 + 60.0 + 30.0 + 10.0
6,0,return,158,158,WS 1 (Port 2),(0;0;5),214,292,292.0,30.0 + 18.0 + 30.0
7,2,target,159,159,(4;5;1),WS 1 (Port 1),225,350,350.0,30.0 + 55.0 + 30.0 + 10.0
8,0,return,159,159,WS 1 (Port 1),(0;0;4),358,428,428.0,30.0 + 10.0 + 30.0
9,1,target,160,160,(4;4;1),WS 1 (Port 1),302,422,422.0,30.0 + 50.0 + 30.0 + 10.0
10,1,return,160,160,WS 1 (Port 1),(0;0;3),430,500,500.0,30.0 + 10.0 + 30.0
11,2,target,161,161,(4;3;1),WS 1 (Port 1),385,500,500.0,30.0 + 45.0 + 30.0 + 10.0
12,0,return,161,161,WS 1 (Port 1),(0;0;2),508,578,578.0,30.0 + 10.0 + 30.0
13,1,target,162,162,(4;2;1),WS 1 (Port 1),530,640,640.0,30.0 + 40.0 + 30.0 + 10.0
14,0,return,162,162,WS 1 (Port 1),(0;0;1),648,718,718.0,30.0 + 10.0 + 30.0
15,2,target,163,163,(4;1;1),WS 1 (Port 2),525,630,630.0,30.0 + 35.0 + 30.0 + 10.0
16,1,return,163,163,WS 1 (Port 2),(0;0;0),636,748,748.0,30.0 + 52.0 + 30.0
