mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,reshuffle,79,57,(1;7;2),(0;0;5),40,140,140.0,30.0 + 40.0 + 30.0
2,1,target,57,57,(1;7;3),WS 1 (Port 1),70,190,190.0,30.0 + 50.0 + 30.0 + 10.0
3,0,return,57,57,WS 1 (Port 1),(0;0;4),198,268,268.0,30.0 + 10.0 + 30.0
4,2,target,58,58,(1;8;3),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
5,1,return,58,58,WS 1 (Port 2),(0;0;3),180,298,298.0,30.0 + 58.0 + 30.0
6,2,target,59,59,(1;9;3),WS 1 (Port 1),220,350,350.0,30.0 + 60.0 + 30.0 + 10.0
7,0,return,59,59,WS 1 (Port 1),(0;0;2),358,428,428.0,30.0 + 10.0 + 30.0
8,1,target,61,61,(2;0;2),WS 1 (Port 1),308,398,398.0,30.0 + 20.0 + 30.0 + 10.0
9,1,return,61,61,WS 1 (Port 1),(0;0;1),406,476,476.0,30.0 + 10.0 + 30.0
10,2,target,63,63,(2;2;2),WS 1 (Port 1),370,470,470.0,30.0 + 30.0 + 30.0 + 10.0
11,0,return,63,63,WS 1 (Port 1),(0;0;0),478,548,548.0,30.0 + 10.0 + 30.0
12,2,target,67,67,(2;6;2),WS 1 (Port 1),510,630,630.0,30.0 + 50.0 + 30.0 + 10.0
13,0,return,67,67,WS 1 (Port 1),(0;1;5),638,713,713.0,30.0 + 15.0 + 30.0
14,1,target,71,71,(2;10;2),WS 1 (Port 2),536,676,676.0,30.0 + 70.0 + 30.0 + 10.0
15,1,return,71,71,WS 1 (Port 2),(0;1;4),684,759,759.0,30.0 + 15.0 + 30.0
16,2,target,72,72,(1;0;2),WS 1 (Port 1),635,720,720.0,30.0 + 15.0 + 30.0 + 10.0
17,0,return,72,72,WS 1 (Port 1),(0;1;3),728,803,803.0,30.0 + 15.0 + 30.0
18,2,target,73,73,(1;1;2),WS 1 (Port 1),730,820,820.0,30.0 + 20.0 + 30.0 + 10.0
19,0,return,73,73,WS 1 (Port 1),(0;1;2),828,903,903.0,30.0 + 15.0 + 30.0
20,1,target,78,78,(1;6;2),WS 1 (Port 1),789,904,904.0,30.0 + 45.0 + 30.0 + 10.0
21,1,return,78,78,WS 1 (Port 1),(0;1;1),906,981,981.0,30.0 + 15.0 + 30.0
