mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_s,end_s,makespan,duration_breakdown
1,0,target,3,3,(5;7;0),WS 1 (Port 1),60,200,200.0,30.0 + 70.0 + 30.0 + 10.0
2,0,return,3,3,WS 1 (Port 1),(0;0;7),216,286,286.0,30.0 + 10.0 + 30.0
3,1,target,147,147,(3;6;1),WS 1 (Port 2),45,170,170.0,30.0 + 55.0 + 30.0 + 10.0
4,1,return,147,147,WS 1 (Port 2),(0;0;6),250,320,320.0,30.0 + 10.0 + 30.0
5,2,target,1,1,(5;9;0),WS 1 (Port 3),70,220,220.0,30.0 + 80.0 + 30.0 + 10.0
6,2,return,1,1,WS 1 (Port 3),(0;0;5),236,350,350.0,30.0 + 54.0 + 30.0
7,0,target,0,0,(5;10;0),WS 1 (Port 1),361,516,516.0,30.0 + 85.0 + 30.0 + 10.0
8,0,return,0,0,WS 1 (Port 1),(0;0;4),532,602,602.0,30.0 + 10.0 + 30.0
9,1,target,148,148,(3;5;1),WS 1 (Port 2),360,480,480.0,30.0 + 50.0 + 30.0 + 10.0
10,1,return,148,148,WS 1 (Port 2),(0;0;3),560,632,632.0,30.0 + 12.0 + 30.0
11,2,target,5,5,(5;5;0),WS 1 (Port 3),400,530,530.0,30.0 + 60.0 + 30.0 + 10.0
12,2,return,5,5,WS 1 (Port 3),(0;0;2),546,662,662.0,30.0 + 56.0 + 30.0
